month,Dongsi,Dongsihuan,Nongzhanguan
2013-03,117.99354838709678,128.4725806451613,116.1774193548387
2013-04,64.298937784522,63.165402124430955,56.88770864946889
2013-05,91.35816618911174,101.55014326647564,77.11174785100286
2013-06,110.01160092807424,119.17169373549883,108.27146171693735
2013-07,72.19110378912686,85.35090609555189,74.67051070840198
2013-08,63.986301369863014,69.77168949771689,64.64687975646879
2013-09,83.79607250755286,82.89577039274924,80.97129909365559
2013-10,102.78525641025641,101.52403846153847,94.6923076923077
2013-11,83.16338028169014,84.2338028169014,83.55211267605634
2013-12,87.7453505007153,92.02718168812589,89.99570815450643
2014-01,106.0098730606488,103.33004231311706,107.71086036671367
2014-02,143.07119741100323,138.86893203883494,144.03074433656957
2014-03,98.71291208791209,100.60027472527473,99.53846153846153
2014-04,89.04088586030664,95.57921635434413,86.31856899488926
2014-05,63.061654135338344,58.78195488721804,63.28270676691729
2014-06,57.82436260623229,63.53541076487252,56.922096317280456
2014-07,100.77745241581259,95.69399707174232,86.2298682284041
2014-08,69.81568088033012,70.18019257221458,61.01925722145805
2014-09,68.4978601997147,72.2681883024251,64.70613409415121
2014-10,112.732421875,145.4609375,128.357421875
2014-11,77.97209985315712,119.25991189427313,105.65345080763583
2014-12,52.038904899135446,78.89625360230548,70.8328530259366
2015-01,103.13283582089552,123.28358208955224,109.27313432835821
2015-02,112.39593908629442,112.26395939086295,104.92724196277496
2015-03,95.56158357771261,103.53372434017595,95.66715542521995
2015-04,74.3621533442088,83.15497553017944,73.81892332789559
2015-05,60.36437908496732,66.66666666666667,57.8562091503268
2015-06,66.24525547445255,56.07883211678832,63.972262773722626
2015-07,70.40963855421687,60.75043029259897,56.20826161790017
2015-08,67.28571428571429,65.98333333333333,57.96666666666667
2015-09,61.391304347826086,59.17391304347826,59.08695652173913
2015-10,60.142857142857146,56.142857142857146,59.42857142857143
2015-11,71.56363636363636,75.21818181818182,73.34545454545454
2015-12,177.84429065743944,184.83737024221455,170.280276816609
